parameter_name,category,current_value,default_value,value_range,core_effect,why_performance_related,risk_level,can_modify,evidence_source,notes,score
syslog_file_uncompressed_count,磁盘IO,0,0,"[0, +∞) in integer",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: disk, log",MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=6,6
cpu_count,CPU调度,16,0,"[0,+∞) in integer",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: cpu,HIGH,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
rootservice_async_task_queue_size,CPU调度,16384,16384,"[8, 131072] in integer",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: queue,HIGH,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=5,5
rootservice_async_task_thread_count,CPU调度,4,4,"[1, 10]",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: thread,HIGH,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=5,5
_append_update_global_indexes_for_dynamic_partition,磁盘IO,AUTO,OFF,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
_enable_ddl_worker_isolation,CPU调度,True,False,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,"命中关键词: worker, thread",LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=5,5
_enable_mysql_compatible_dates,SQL执行,True,False,UNKNOWN,影响 SQL 计划、审计、长查询调度和执行超时,命中关键词: sql,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
_parallel_ddl_control,CPU调度,"TRUNCATE_TABLE:ON, SET_COMMENT:ON, CREATE_INDEX:ON, CREATE_VIEW:ON, DROP_TABLE:ON",UNKNOWN,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: parallel,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=5,5
arbitration_timeout,磁盘IO,5s,5s,"[3s,+∞]",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TRANS; score=5,5
archive_lag_target,磁盘IO,120s,120s,"[0ms,7200s]",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, log",LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=LOGSERVICE; score=5,5
attach_shared_sstable_thread_score,CPU调度,0,0,"[0,100] in integer",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: thread,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
audit_log_enable,磁盘IO,False,False,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
audit_log_format,磁盘IO,CSV,CSV,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
audit_log_max_size,磁盘IO,0M,0M,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
audit_log_path,磁盘IO,,UNKNOWN,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
audit_log_prune_seconds,磁盘IO,0,0,"[0,)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
audit_log_rotate_on_size,磁盘IO,256M,256M,"[0,)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
audit_log_strategy,磁盘IO,ASYNCHRONOUS,ASYNCHRONOUS,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
audit_sys_operations,磁盘IO,False,False,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
choose_migration_source_policy,磁盘IO,region,region,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
connection_control_failed_connections_threshold,磁盘IO,0,0,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
connection_control_max_connection_delay,磁盘IO,2147483647,2147483647,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
connection_control_min_connection_delay,磁盘IO,1000,1000,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
ddl_thread_score,CPU调度,0,0,"[0,100] in integer",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: thread,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
default_micro_block_format_version,磁盘IO,1,1,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
default_table_organization,磁盘IO,INDEX,INDEX,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
enable_lock_priority,磁盘IO,False,False,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TRANS; score=5,5
enable_logonly_replica,磁盘IO,False,False,True:turned on  False: turned off,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
enable_manual_storage_cache_policy,内存管理,True,True,UNKNOWN,影响缓存、冻结、内存水位和租户资源使用,命中关键词: cache,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
enable_mlog_auto_maintenance,磁盘IO,True,False,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
enable_sql_extension,SQL执行,False,False,UNKNOWN,影响 SQL 计划、审计、长查询调度和执行超时,命中关键词: sql,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
ha_high_thread_score,CPU调度,0,0,"[0,100] in integer",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: thread,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
ha_low_thread_score,CPU调度,0,0,"[0,100] in integer",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: thread,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
ha_mid_thread_score,CPU调度,0,0,"[0,100] in integer",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: thread,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
inc_sstable_upload_thread_score,CPU调度,0,0,"[0,100] in integer",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: thread,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
job_queue_processes,CPU调度,1000,1000,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,"命中关键词: queue, scheduler",LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
kv_ttl_duty_duration,磁盘IO,,UNKNOWN,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=5,5
load_data_diagnosis_log_max_size,磁盘IO,256M,256M,"[0,)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
load_vector_index_on_follower,内存管理,True,True,UNKNOWN,影响缓存、冻结、内存水位和租户资源使用,"命中关键词: memory, mem, tenant",LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
ls_gc_delay_time,磁盘IO,0s,0s,"[0s, +∞)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, log",LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=LOGSERVICE; score=5,5
max_partition_num,磁盘IO,8192,8192,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
mlog_trim_interval,磁盘IO,1d,1d,"[5s, 30d]",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
ob_proxy_readonly_transaction_routing_policy,磁盘IO,False,false,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
open_cursors,SQL执行,50,50,"[0, 65535] in integer",影响 SQL 计划、审计、长查询调度和执行超时,命中关键词: cursor,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
partition_balance_schedule_interval,磁盘IO,0,2h,"[0s, +∞)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=LOAD_BALANCE; score=5,5
plsql_code_type,SQL执行,native,native,UNKNOWN,影响 SQL 计划、审计、长查询调度和执行超时,命中关键词: sql,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
plsql_debug,SQL执行,False,False,UNKNOWN,影响 SQL 计划、审计、长查询调度和执行超时,命中关键词: sql,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
query_response_time_flush,磁盘IO,False,False,TRUE: trigger flush FALSE: do not trigger,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: flush,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
query_response_time_range_base,SQL执行,10,10,"[2,10000]",影响 SQL 计划、审计、长查询调度和执行超时,命中关键词: query,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
query_response_time_stats,SQL执行,True,True,TRUE: turned on FALSE: turned off,影响 SQL 计划、审计、长查询调度和执行超时,命中关键词: query,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
replica_parallel_migration_mode,CPU调度,auto,auto,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: parallel,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
result_cache_max_result,内存管理,5,5,UNKNOWN,影响缓存、冻结、内存水位和租户资源使用,命中关键词: cache,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
spill_compression_codec,磁盘IO,LZ4,NONE,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
temporary_file_max_disk_size,磁盘IO,0M,0M,"[0,+∞)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: disk,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
ttl_thread_score,CPU调度,0,0,"[0,100] in integer",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: thread,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
undo_retention,磁盘IO,1800,1800,"[0, 4294967295]",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
writing_throttling_maximum_duration,磁盘IO,2h,2h,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TRANS; score=5,5
zone_disk_balance_tolerance_percentage,磁盘IO,10,10,"[1, 100] in percentage",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: disk,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=LOAD_BALANCE; score=5,5
alert_log_level,磁盘IO,INFO,INFO,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
async_ps_cursor_max_count,SQL执行,0,0,"[0, 1024] in integer",影响 SQL 计划、审计、长查询调度和执行超时,命中关键词: cursor,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
autoinc_cache_refresh_interval,内存管理,3600s,3600s,"[100ms, +∞)",影响缓存、冻结、内存水位和租户资源使用,命中关键词: cache,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
balancer_log_interval,磁盘IO,1m,1m,"[1s, +∞)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=LOAD_BALANCE; score=5,5
config_additional_dir,磁盘IO,etc2;etc3,etc2;etc3,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
data_disk_usage_limit_percentage,磁盘IO,90,90,"[50,100] in integer",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: disk,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
dead_socket_detection_timeout,磁盘IO,3s,3s,"[0, 2h]",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
debug_sync_timeout,SQL执行,0,0,"[0, +∞]",影响 SQL 计划、审计、长查询调度和执行超时,命中关键词: timeout,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
enable_async_syslog,磁盘IO,True,True,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
enable_major_freeze,内存管理,True,True,True:turned on,影响缓存、冻结、内存水位和租户资源使用,命中关键词: freeze,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=5,5
enable_record_trace_log,磁盘IO,False,True,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
enable_rereplication,磁盘IO,True,True,True:turned on  False: turned off,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=LOAD_BALANCE; score=5,5
enable_rpc_authentication_bypass,磁盘IO,True,True,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
enable_sql_audit,SQL执行,True,true,TRUE: turned on FALSE: turned off,影响 SQL 计划、审计、长查询调度和执行超时,命中关键词: sql,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
enable_sql_operator_dump,SQL执行,True,True,UNKNOWN,影响 SQL 计划、审计、长查询调度和执行超时,命中关键词: sql,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
enable_syslog_recycle,磁盘IO,True,False,True：turned on,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
enable_syslog_wf,磁盘IO,False,True,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
global_background_cpu_quota,CPU调度,-1,-1,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: cpu,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
large_query_worker_percentage,CPU调度,30,30,"[0, 100] in percentage",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: worker,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
logservice_access_point,磁盘IO,,UNKNOWN,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
migration_disable_time,磁盘IO,3600s,3600s,"[1s, +∞)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=5,5
min_observer_version,磁盘IO,4.4.2.1,4.4.2.1,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=5,5
resource_hard_limit,内存管理,100,100,UNKNOWN,影响缓存、冻结、内存水位和租户资源使用,命中关键词: resource,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=LOAD_BALANCE; score=5,5
rpc_client_authentication_method,磁盘IO,NONE,NONE,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
rpc_server_authentication_method,磁盘IO,ALL,ALL,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
server_balance_critical_disk_waterlevel,磁盘IO,80,80,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: disk,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=LOAD_BALANCE; score=5,5
server_cpu_quota_max,CPU调度,0,0,"[0, 16]",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: cpu,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
server_cpu_quota_min,CPU调度,0,0,"[0, 16]",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: cpu,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=5,5
sql_login_thread_count,CPU调度,0,0,"[0, 32] in integer, 0 stands for use default thread count defined in TG",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: thread,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
sql_net_thread_count,CPU调度,0,0,"[0, 64] in integer, default value is 0, 0 stands for old value GCONF",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: thread,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
sql_protocol_min_tls_version,磁盘IO,none,none,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
ss_cache_max_percentage,内存管理,30,30,"(0,100] in integer",影响缓存、冻结、内存水位和租户资源使用,命中关键词: cache,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=SSTABLE; score=5,5
ss_cache_maxsize_percpu,CPU调度,128G,128G,"(0, +∞)",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: cpu,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=SSTABLE; score=5,5
sync_io_thread_count,CPU调度,0,0,"[0,1024] in integer",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: thread,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
sys_bkgd_migration_change_member_list_timeout,内存管理,20s,20s,"[0s,24h]",影响缓存、冻结、内存水位和租户资源使用,命中关键词: mem,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
sys_bkgd_migration_retry_num,磁盘IO,3,3,"[3, 100] in integer",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
syslog_level,磁盘IO,WDIAG,WDIAG,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
tenant_task_queue_size,CPU调度,16384,16384,"[1024,+∞)",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: queue,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
trace_log_slow_query_watermark,磁盘IO,1s,1s,"[1ms,+∞)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,"命中关键词: io, log",MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
weak_read_version_refresh_interval,磁盘IO,100ms,100ms,"[50ms, +∞)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=5,5
datafile_size,磁盘IO,5G,0M,"[0, +∞)",影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: datafile,HIGH,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=SSTABLE; score=4,4
enable_global_background_resource_isolation,内存管理,False,False,UNKNOWN,影响缓存、冻结、内存水位和租户资源使用,"命中关键词: tenant, resource",HIGH,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=STATIC_EFFECTIVE; section=OBSERVER; score=4,4
high_priority_net_thread_count,CPU调度,0,0,"[0, 64] in integer",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: thread,HIGH,UNKNOWN,real_query,scope=CLUSTER; edit_level=STATIC_EFFECTIVE; section=OBSERVER; score=4,4
approx_count_distinct_precision,磁盘IO,10,10,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: io,LOW,YES,real_query + previous_export,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=4,4
default_progressive_merge_num,内存管理,0,0,"[0,)",影响缓存、冻结、内存水位和租户资源使用,命中关键词: tenant,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=4,4
enable_mv_binlog_minimal_mode,磁盘IO,False,False,UNKNOWN,影响日志写入、刷盘、压缩、磁盘带宽和 IO 隔离,命中关键词: log,LOW,YES,real_query,scope=TENANT; edit_level=DYNAMIC_EFFECTIVE; section=TENANT; score=4,4
