category,name,current_value,info,section,edit_level,reason
CPU调度,_ob_enable_standby_db_parallel_log_transport,True,Specifies whether the parallel log transport protocol is enabled on the standby database. The parallel log transport protocol is enabled only if this parameter is true and the primary database is comp,LOGSERVICE,DYNAMIC_EFFECTIVE,关键词匹配: parallel
CPU调度,_ob_max_thread_num,0,"ob max thread number upper limit of observer thread count. Range: [0, 10000), 0 means no limit.",TENANT,DYNAMIC_EFFECTIVE,关键词匹配: thread
SQL执行,_ob_plan_cache_auto_flush_interval,0s,"time interval for auto periodic flush plan cache. Range: [0s, +∞)",OBSERVER,DYNAMIC_EFFECTIVE,"关键词匹配: plan_cache, plan_cache_auto_flush"
SQL执行,_ob_plan_cache_gc_strategy,REPORT,"OFF: disabled, REPORT: check leaked cache object infos only, AUTO: check and release leaked cache obj.",OBSERVER,DYNAMIC_EFFECTIVE,"关键词匹配: plan_cache, plan_cache_gc"
CPU调度,_ob_pl_compile_max_concurrency,4,The maximum number of threads that an observer node can compile PL concurrently.,OBSERVER,DYNAMIC_EFFECTIVE,"关键词匹配: info:thread, concurrency"
SQL执行,_optimizer_sortmerge_join_enabled,True,enable/disable merge join,TENANT,DYNAMIC_EFFECTIVE,关键词匹配: sortmerge_join
CPU调度,_parallel_ddl_control,,switch for parallel capability of parallel DDL,ROOT_SERVICE,DYNAMIC_EFFECTIVE,关键词匹配: parallel
CPU调度,_parallel_max_active_sessions,0,"max active parallel sessions allowed for tenant. Range: [0,+∞)",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: parallel
CPU调度,_parallel_min_message_pool,16M,"DTL message buffer pool reserve the mininum size after extend the size. Range: [16M,8G]",TENANT,DYNAMIC_EFFECTIVE,关键词匹配: parallel
CPU调度,_parallel_redo_logging_trigger,16M,"size of single transaction's pending redo log to trigger parallel writes redo log. Range: [0B,+∞)",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: parallel
CPU调度,_parallel_server_sleep_time,1,"sleep time between get channel data in millisecond. Range: [0, 2000]",TENANT,DYNAMIC_EFFECTIVE,关键词匹配: parallel
磁盘IO,_pc_adaptive_effectiveness_ratio_threshold,5,"minimum effectiveness ratio threshold for enabling adaptive plan cache. Range:[0, +∞]",TENANT,DYNAMIC_EFFECTIVE,关键词匹配: io_
SQL执行,_pc_adaptive_min_exec_time_threshold,1s,"minimum execution time threshold for enabling adaptive plan cache. Range: [0, +∞]",TENANT,DYNAMIC_EFFECTIVE,关键词匹配: pc_adaptive
CPU调度,_pdml_thread_cache_size,2M,"The cache size of per pdml thread.Range:[1B, )",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: thread
内存管理,_pipelined_table_function_memory_limit,524288000,"pipeline table function result set memory size limit. default 524288000 (500M), Range: [1024,18446744073709551615]",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: memory_limit
SQL执行,_preset_runtime_bloom_filter_size,False,Whether build runtime bloom filter with row count estimated by optimizor.Value:  True:turned on  False: turned off,OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: bloom_filter
磁盘IO,_private_buffer_size,16K,"[0B,)the trigger remaining data size within transaction for immediate logging, 0B represents not trigger immediate loggingRange: [0B, total size of memory]",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: _private_buffer
SQL执行,_px_bloom_filter_group_size,auto,"specifies the px bloom filter each group size in sending to the other sqcRange: [1, +∞) or auto, the default value is auto",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: bloom_filter
CPU调度,_px_join_skew_handling,True,enables skew handling for parallel joins. The  default value is True.,OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: info:parallel
CPU调度,_px_join_skew_minfreq,30,"sets minimum frequency(%) for skewed value for parallel joins. Range: [1, 100] in integer",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: info:parallel
内存管理,_px_max_message_pool_pct,40,"The maxinum percent of tenant memory that DTL message buffer pool can alloc memory. Range: [0,90]",TENANT,DYNAMIC_EFFECTIVE,关键词匹配: _px_max_message
CPU调度,_px_max_pipeline_depth,2,"max parallel execution pipeline depth, range: [2,3]",TENANT,DYNAMIC_EFFECTIVE,关键词匹配: info:parallel
CPU调度,_px_object_sampling,200,"[1, 100000]parallel query sampling for base objects (100000 = 100%)",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: info:parallel
CPU调度,_px_worker_share_plan_enabled,True,Enable parallel execution optimization by sharing plan and only serializing necessary expressions.,OBSERVER,DYNAMIC_EFFECTIVE,"关键词匹配: worker, info:parallel"
SQL执行,_query_record_size_limit,65536,"set sql_audit and plan stat query sql size. Range: [0,67108864] in integer in integer.",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: info:sql_audit
磁盘IO,_rebuild_replica_log_lag_threshold,0M,"size of clog files that a replica lag behind leader to trigger rebuild, 0 means never trigger rebuild on purpose. Range: [0, +∞)",TRANS,DYNAMIC_EFFECTIVE,关键词匹配: info:clog
磁盘IO,_restore_io_max_retry_count,3,"max retry times for restore when encounting io errorRange: [0,64] in integer",OBSERVER,DYNAMIC_EFFECTIVE,"关键词匹配: io_, _io_"
SQL执行,_send_bloom_filter_size,1024,"Set send bloom filter slice sizeRange: [1, +∞)",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: bloom_filter
CPU调度,_server_full_schema_refresh_parallelism,REQUEST,"specifies whether observer's full schema refresh is request-level parallelism or object-level parallelism.values: REQUEST, OBJECT",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: parallel
内存管理,_sort_area_size,32M,"size of maximum memory that could be used by SORT. Range: [2M,+∞)",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: _sort_area
内存管理,_ss_mem_macro_cache_memory_limit_percentage,5,"the maximum percentage of tenant memory size used by mem_macro_cache in shared_stoarge mode, Range: [0, 50]",TENANT,DYNAMIC_EFFECTIVE,关键词匹配: memory_limit
内存管理,_ss_micro_cache_memory_percentage,20,"the percentage of tenant memory size used by microblock_cache in shared_stoarge mode, Range: [1, 50]",TENANT,DYNAMIC_EFFECTIVE,关键词匹配: info:block_cache
CPU调度,_stall_threshold_for_dynamic_worker,3ms,threshold of dynamic worker works,OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: worker
内存管理,_storage_meta_memory_limit_percentage,20,"maximum memory for storage meta, as a percentage of total tenant memory. Range: [0, 50), percentage, 0 means no limit to storage meta memory",TENANT,DYNAMIC_EFFECTIVE,"关键词匹配: memory_limit, storage_meta_mem"
CPU调度,_stream_rpc_max_wait_timeout,1200s,the maximum timeout for a tenant worker thread to wait for the next request while processing streaming RPC,RPC,DYNAMIC_EFFECTIVE,"关键词匹配: info:worker, info:thread"
内存管理,_temporary_file_io_area_size,1,"memory buffer size of temporary file, as a percentage of total tenant memory. Range: [0, 50), percentage",TENANT,DYNAMIC_EFFECTIVE,关键词匹配: _temporary_file_io_area
CPU调度,_trx_max_log_cb_limit,16,Control the upper limit of TxLogCbs involved in the participant to manage the maximum concurrency of  submiting logs in a transaction,TENANT,DYNAMIC_EFFECTIVE,关键词匹配: info:concurrency
内存管理,_tx_data_memory_limit_percentage,20,"used to control the upper limit percentage of memory resources that the TxData module can use. Range:(0, 100)",TENANT,DYNAMIC_EFFECTIVE,"关键词匹配: memory_limit, _tx_data_memory"
内存管理,_tx_share_memory_limit_percentage,0,"Used to control the percentage of tenant memory limit that multiple modules in the transaction layer can collectively use. This primarily includes user data (MemTable), transaction data (TxData), etc.",TENANT,DYNAMIC_EFFECTIVE,"关键词匹配: memory_limit, info:memstore, _tx_share_memory, info:ob_vector_memory"
CPU调度,_wait_interval_after_parallel_ddl,30s,time interval for waiting other servers to refresh schema after parallel ddl is done,OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: parallel
CPU调度,_xa_gc_interval,1h,specifies the scan interval of the gc worker,OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: info:worker
内存管理,__easy_memory_limit,4G,"max memory size which can be used by libeasy. The default value is 4G. Range: [256M,)",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: memory_limit
内存管理,__easy_memory_reserved_percentage,0,"the percentage of easy memory reserved size. The default value is 0. Range: [0,100]",OBSERVER,DYNAMIC_EFFECTIVE,关键词匹配: memory_reserved
