category,name,current_value,info,section,edit_level,reason,score
CPU调度,_backup_task_queue_size,0,"the size of the backup task scheduler queue for each tenant. Range: [0, 100000] in integer",ROOT_SERVICE,DYNAMIC_EFFECTIVE,"命中关键词: queue, scheduler",6
CPU调度,net_thread_count,0,"the number of rpc/mysql I/O threads for Libeasy. Range: [0, 128] in integer, 0 stands for max(6, CPU_NUM/8)",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: cpu, thread",6
SQL执行,_enable_px_batch_rescan,True,enable px batch rescan for nlj or subplan filter,OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: plan, px",6
SQL执行,_partition_wise_plan_enabled,True,enable/disable optimizer partition wise plan,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: plan, optimizer",6
SQL执行,_with_subquery,0,"WITH subquery transformation,0: optimizer,1: materialize,2: inline",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: query, optimizer",6
SQL执行,kv_hbase_client_scanner_timeout_period,60000,"OBKV Hbase client scanner query timeout, which unit is milliseconds. Range: (0, +∞) in integer. Especially, 60000 means default value",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: query, timeout",6
SQL执行,mysql_port,2881,"port number for mysql connection. Range: (1024, 65536) in integer",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: sql, connection",6
SQL执行,px_node_policy,DATA,"Determining the candidate pool for PX calculation nodes.""DATA"": All data nodes involved in the current SQL.""ZONE"": All nodes within the zones involved in the current SQL that belong to the tenant.""CLUSTER"": All nodes involved by the current tenant.",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: sql, px",6
内存管理,_chunk_row_store_mem_limit,0M,"the maximum size of memory used by ChunkRowStore, 0 means follow operator's setting. Range: [0, +∞)",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem",6
内存管理,_enable_kvcache_hazard_pointer,True,use hazard pointer(default) or reference counting to manage memory in kvcache,OBSERVER,READONLY,"命中关键词: memory, mem, cache",6
内存管理,_max_tablet_cnt_per_gb,20000,"The maximum number of tablets supported per 1GB of memory by tenant unit. Range: [1000, 50000)",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",6
内存管理,_private_buffer_size,16K,"[0B,)the trigger remaining data size within transaction for immediate logging, 0B represents not trigger immediate loggingRange: [0B, total size of memory]",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, buffer",6
内存管理,_resource_limit_max_session_num,0,the maximum number of sessions that can be created concurrently,RESOURCE_LIMIT,DYNAMIC_EFFECTIVE,命中关键词: resource,6
内存管理,default_storage_cache_policy,AUTO,"default storage cache policy for tenant, values: HOT/AUTO",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: cache, tenant",6
内存管理,location_cache_cpu_quota,5,"the number of vCPUs allocated for the requests regarding location info of the core tables. Range: [0,10] in integer",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: cache, tenant",6
内存管理,server_balance_cpu_mem_tolerance_percent,5,"specifies the tolerance (in percentage) of the unbalance of the cpu/memory utilization among all servers. The average cpu/memory utilization is calculated by dividing the total cpu/memory by the number of servers. server balancer will start a rebalancing task when the deviation between the average usage and some server load is greater than this tolerance Range: [1, 100] in percentage",LOAD_BALANCE,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem",6
磁盘IO,_datafile_usage_lower_bound_percentage,10,"the percentage of disk space usage lower bound to trigger datafile shrink. Range: [5,99] in integer",SSTABLE,DYNAMIC_EFFECTIVE,"命中关键词: disk, datafile",6
磁盘IO,_datafile_usage_upper_bound_percentage,90,"the percentage of disk space usage upper bound to trigger datafile extend. Range: [5,99] in integer",SSTABLE,DYNAMIC_EFFECTIVE,"命中关键词: disk, datafile",6
磁盘IO,_minor_merge_write_amplification_threshold,2000000,"The write amplification threshold about minor compaction. The larger the value, the smaller the write amplicification",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",6
磁盘IO,_no_logging,False,set true to skip writing ddl clog when all server using the same oss in shared storage mode,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: log, clog",6
磁盘IO,_ob_ash_disk_write_enable,True,enable active session history early flush,OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: io, disk, flush",6
磁盘IO,_ob_plan_cache_auto_flush_interval,0s,"time interval for auto periodic flush plan cache. Range: [0s, +∞)",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: io, flush",6
磁盘IO,_parallel_redo_logging_trigger,16M,"size of single transaction's pending redo log to trigger parallel writes redo log. Range: [0B,+∞)",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: io, log",6
磁盘IO,_rebuild_replica_log_lag_threshold,0M,"size of clog files that a replica lag behind leader to trigger rebuild, 0 means never trigger rebuild on purpose. Range: [0, +∞)",TRANS,DYNAMIC_EFFECTIVE,"命中关键词: log, clog",6
磁盘IO,_ss_old_ver_retention_time,5d,"the retention time of old compaction version data in shared dir,Range: [0,365d]",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",6
磁盘IO,_ss_sslog_weak_read_threshold,5s,"If the difference time between the local max decided scn and gts is less than this configuration item value,the read operation inside the sslog atomic operation can be weak. Range: [0s, 2h]",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, log",6
磁盘IO,_trx_max_log_cb_limit,16,Control the upper limit of TxLogCbs involved in the participant to manage the maximum concurrency of  submiting logs in a transaction,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, log",6
磁盘IO,data_disk_write_limit_percentage,0,"used to stop user write operations. When the user data disk reaches this watermark, SQL requests will report that the disk is full. The configuration should be greater than data_disk_usage_limit_percentage, with the recommended setting being: (1 - memstore_limit_size / data_disk_size) * 100%",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, disk",6
磁盘IO,diag_syslog_per_error_limit,200,"DIAG syslog limitation for each error per second, exceeding syslog would be truncated",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: io, log",6
磁盘IO,max_syslog_file_count,100,"specifies the maximum number of the log files that can co-exist before the log file recycling kicks in. Each log file can occupy at most 256MB disk space. When this value is set to 0, no log file will be removed. Range: [0, +∞) in integer",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: disk, log",6
磁盘IO,ob_ratelimit_stat_period,1s,the time interval to update observer's maximum bandwidth to a certain region. ,OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: io, bandwidth",6
磁盘IO,server_balance_disk_tolerance_percent,1,"specifies the tolerance (in percentage) of the unbalance of the disk space utilization among all servers. The average disk space utilization is calculated by dividing the total space by the number of servers. server balancer will start a rebalancing task when the deviation between the average usage and some server load is greater than this tolerance Range: [1, 100] in percentage",LOAD_BALANCE,DYNAMIC_EFFECTIVE,"命中关键词: io, disk",6
磁盘IO,syslog_compress_func,none,"compress function name for syslog files, values: none, zstd_1.0, zstd_1.3.8",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: io, log",6
磁盘IO,syslog_file_uncompressed_count,0,"specifies the minimum number of the syslog files that will not be compressed. Each syslog file can occupy at most 256MB disk space. When this value is set to 0, all syslog file may be compressed. Range: [0, +∞) in integer",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: disk, log",6
CPU调度,_enable_ddl_worker_isolation,False,a switch controling ddl thread isolation,ROOT_SERVICE,DYNAMIC_EFFECTIVE,"命中关键词: worker, thread",5
CPU调度,_enable_more_aggressive_dynamic_worker,True,specifies whether worker count increases more aggressive.,TENANT,DYNAMIC_EFFECTIVE,命中关键词: worker,5
CPU调度,_enable_parallel_das_dml,False,"By default, the das service is allowed to use multiple threads to submit das tasks",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: thread, parallel",5
CPU调度,_enable_parallel_minor_merge,True,specifies whether enable parallel minor merge. Value: True:turned on;  False: turned off,TENANT,DYNAMIC_EFFECTIVE,命中关键词: parallel,5
CPU调度,_enable_parallel_redo_logging,True,enable parallel write redo log.,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: parallel,5
CPU调度,_enable_parallel_table_creation,True,specifies whether create table parallelly. Value:  True: create table parallelly;  False: create table serially,ROOT_SERVICE,DYNAMIC_EFFECTIVE,命中关键词: parallel,5
CPU调度,_enable_parallel_tenant_creation,True,Enable or disable parallel create meta and user tenants.,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: parallel,5
CPU调度,_enable_tree_based_io_scheduler,True,A switch that allows enabling the tree-based IO scheduler.Value: True: allowed; False: disabled,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: scheduler,5
CPU调度,_faststack_req_queue_size_threshold,0,"When the size of the req_queue reaches this threshold, the obstack will be collected automatically. Default: 0, means set off. Range: [0, +∞)",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: queue,5
CPU调度,_io_callback_thread_count,0,"The number of io callback threads. The default value is 0. Range: [0,128] in integer. If not specified, The number of threads is dynamically configured according to the memory size",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,_ob_enable_background_thread_auto_adapt,True,specifies whether the tenant's background thread auto adapt is enabledValue: True:turned on;  False: turned off,TENANT,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,_ob_enable_dynamic_worker,True,specifies whether worker count increases when all workers were in blocking.,TENANT,DYNAMIC_EFFECTIVE,命中关键词: worker,5
CPU调度,_ob_max_thread_num,0,"ob max thread number upper limit of observer thread count. Range: [0, 10000), 0 means no limit.",TENANT,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,_ob_pl_compile_max_concurrency,4,The maximum number of threads that an observer node can compile PL concurrently.,OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: thread, concurrency",5
CPU调度,_parallel_ddl_control,,switch for parallel capability of parallel DDL,ROOT_SERVICE,DYNAMIC_EFFECTIVE,命中关键词: parallel,5
CPU调度,_parallel_max_active_sessions,0,"max active parallel sessions allowed for tenant. Range: [0,+∞)",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: parallel,5
CPU调度,_pdml_thread_cache_size,2M,"The cache size of per pdml thread.Range:[1B, )",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,_server_full_schema_refresh_parallelism,REQUEST,"specifies whether observer's full schema refresh is request-level parallelism or object-level parallelism.values: REQUEST, OBJECT",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: parallel,5
CPU调度,_stall_threshold_for_dynamic_worker,3ms,threshold of dynamic worker works,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: worker,5
CPU调度,_wait_interval_after_parallel_ddl,30s,time interval for waiting other servers to refresh schema after parallel ddl is done,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: parallel,5
CPU调度,attach_shared_sstable_thread_score,0,"the current work thread score of attach shared sstable to local storage Range: [0,100] in integer. Especially, 0 means default value",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,cpu_count,4,"the number of CPU\'s in the system. If this parameter is set to zero, the number will be set according to sysconf; otherwise, this parameter is used. Range: [0,+∞) in integer",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: cpu,5
CPU调度,ddl_high_thread_score,0,"the current work thread score of ddl high thread. Range: [0,100] in integer. Especially, 0 means default value",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,ddl_thread_score,0,"the current work thread score of ddl thread. Range: [0,100] in integer. Especially, 0 means default value",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,global_background_cpu_quota,-1,"When enable_global_background_resource_isolation is True, specify the number of vCPUs allocated to the background tasks-1 for the CPU is not limited by the cgroup",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: cpu,5
CPU调度,ha_high_thread_score,0,"the current work thread score of high availability high thread. Range: [0,100] in integer. Especially, 0 means default value",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,ha_low_thread_score,0,"the current work thread score of high availability low thread. Range: [0,100] in integer. Especially, 0 means default value",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,ha_mid_thread_score,0,"the current work thread score of high availability mid thread. Range: [0,100] in integer. Especially, 0 means default value",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,inc_sstable_upload_thread_score,0,"the current work thread score of upload incremental sstable to shared storage Range: [0,100] in integer. Especially, 0 means default value",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,job_queue_processes,1000,specifies the maximum number of job slaves per instance that can be created for the execution of DBMS_JOB jobs and Oracle Scheduler (DBMS_SCHEDULER) jobs.,OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: queue, scheduler",5
CPU调度,large_query_worker_percentage,30,"the percentage of the workers reserved to serve large query request. Range: [0, 100] in percentage",TENANT,DYNAMIC_EFFECTIVE,命中关键词: worker,5
CPU调度,replica_parallel_migration_mode,auto,specify the strategy for parallel migration of LS replicas. 'auto' means to allow parallel migration of LS replica of standby tenant and prohibit the parallel migration of LS replica of primary tenant. 'on' means to allow parallel migration of LS replica of primary tenant and standby tenant. 'off' means to prohibit parallel migration of LS replica of primary tenant and standby tenant,TENANT,DYNAMIC_EFFECTIVE,命中关键词: parallel,5
CPU调度,rootservice_async_task_queue_size,16384,"the size of the queue for all asynchronous tasks at rootserver. Range: [8, 131072] in integer",ROOT_SERVICE,DYNAMIC_EFFECTIVE,命中关键词: queue,5
CPU调度,rootservice_async_task_thread_count,4,"maximum of threads allowed for executing asynchronous task at rootserver. Range: [1, 10]",ROOT_SERVICE,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,server_cpu_quota_max,0,"the number of maximal vCPUs allocated to the server tenant(a special internal tenant that exists on every observer). 0 stands for adaptive. Range: [0, 16]",TENANT,DYNAMIC_EFFECTIVE,命中关键词: cpu,5
CPU调度,server_cpu_quota_min,0,"the number of minimal vCPUs allocated to the server tenant(a special internal tenant that exists on every observer). 0 stands for adaptive. Range: [0, 16]",TENANT,DYNAMIC_EFFECTIVE,命中关键词: cpu,5
CPU调度,sql_login_thread_count,0,"the number of threads for sql login request. Range: [0, 32] in integer, 0 stands for use default thread count defined in TG.the default thread count for login request in TG is normal:6 mini-mode:2",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,sql_net_thread_count,0,"the number of global mysql I/O threads. Range: [0, 64] in integer, default value is 0, 0 stands for old value GCONF.net_thread_count",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,ss_cache_maxsize_percpu,128G,"the maximum allowed local cache disk size per CPU per server in shared storage mode. Range: (0, +∞)",SSTABLE,DYNAMIC_EFFECTIVE,命中关键词: cpu,5
CPU调度,sync_io_thread_count,0,"The number of io threads for synchronizing request on each device. The default value is 0. Range: [0,1024] in integer",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,tenant_task_queue_size,16384,"the size of the task queue for each tenant. Range: [1024,+∞)",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: queue,5
CPU调度,ttl_thread_score,0,"the current work thread score of ttl thread. Range: [0,100] in integer. Especially, 0 means default value",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: thread,5
CPU调度,vector_index_optimization_concurrency,2,"the vector index async task parallelism. Range: [1,256] in integer. Especially, 2 means default value",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: concurrency, parallel",5
SQL执行,_advance_checkpoint_timeout,30m,"the timeout for backup/migrate advance checkpoint Range: [10s,180m]",ROOT_SERVICE,DYNAMIC_EFFECTIVE,命中关键词: timeout,5
SQL执行,_backup_task_keep_alive_timeout,10m,"control backup task keep alive timeoutRange: [1s, +∞)",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: timeout,5
SQL执行,_enable_mysql_compatible_dates,True,Specifies whether to use MySQL-compatible date format that allows for invalid dates.,TENANT,DYNAMIC_EFFECTIVE,命中关键词: sql,5
SQL执行,_enable_new_query_range_extraction,True,decide whether use new algorithm to extract query range.,TENANT,DYNAMIC_EFFECTIVE,命中关键词: query,5
SQL执行,_enable_px_fast_reclaim,True,Enable the fast reclaim function through PX tasks deteting for survival by detect manager. The default value is True.,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: px,5
SQL执行,_enable_px_ordered_coord,False,enable px task ordered coord,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: px,5
SQL执行,_enable_px_task_rebalance,False,Enable or disable px task rebalance.,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: px,5
SQL执行,_enable_sql_audit_filter_pushdown,True,Enable or disable sql audit filter pushdown.,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: sql,5
SQL执行,_enable_sql_ccl_rule,True,Enable or disable sql ccl rule.,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: sql,5
SQL执行,_force_enable_plan_tracing,True,controls whether plan tracking is enabled when plan cache is disabled,TENANT,DYNAMIC_EFFECTIVE,命中关键词: plan,5
SQL执行,_ha_rpc_timeout,0,"the rpc timeout for storage high availability. Range:[0, 120s]",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: timeout,5
SQL执行,_ob_ddl_timeout,1000s,"the config parameter of ddl timeoutRange: [1s, 3216672000s)",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: timeout,5
SQL执行,_ob_sqlstat_enable,True,enable/disable sql stat,TENANT,DYNAMIC_EFFECTIVE,命中关键词: sql,5
SQL执行,_ob_trans_rpc_timeout,3s,"transaction rpc timeout(s). Range: [0s, 3600s]",TRANS,DYNAMIC_EFFECTIVE,命中关键词: timeout,5
SQL执行,_optimizer_ads_time_limit,10,"the maximum optimizer dynamic sampling time limit. Range: [0, 300]",TENANT,DYNAMIC_EFFECTIVE,命中关键词: optimizer,5
SQL执行,_px_bloom_filter_group_size,auto,"specifies the px bloom filter each group size in sending to the other sqcRange: [1, +∞) or auto, the default value is auto",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: px,5
SQL执行,_px_object_sampling,200,"[1, 100000]parallel query sampling for base objects (100000 = 100%)",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: query, px",5
SQL执行,_px_task_rebalance_trigger_time,10ms,"Control the trigger time of px task rebalance. Range: [1us, 1h]",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: px,5
SQL执行,_stream_rpc_max_wait_timeout,1200s,the maximum timeout for a tenant worker thread to wait for the next request while processing streaming RPC,RPC,DYNAMIC_EFFECTIVE,命中关键词: timeout,5
SQL执行,_transfer_finish_trans_timeout,10s,"transfer finish transaction timeout, Range [1s,600s]. The default value is 10s",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: timeout,5
SQL执行,_transfer_process_lock_tx_timeout,100s,"transaction timeout for locking and unlocking transfer task. Range: [30s, +∞)",ROOT_SERVICE,DYNAMIC_EFFECTIVE,命中关键词: timeout,5
SQL执行,_transfer_start_rpc_timeout,10s,"transfer start status rpc check some status ready timeout, Range [1ms,600s]. The default value is 10s",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: timeout,5
SQL执行,_transfer_start_trans_timeout,1s,"transfer start transaction timeout, Range [1ms,600s]. The default value is 1s",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: timeout,5
SQL执行,async_ps_cursor_max_count,0,"the max count of async ps cursor. The default value is 0. Range: [0, 1024] in integer",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: cursor,5
SQL执行,debug_sync_timeout,0,"Enable the debug sync facility and optionally specify a default wait timeout in micro seconds. A zero value keeps the facility disabled, Range: [0, +∞]",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: timeout,5
SQL执行,enable_sql_audit,True,specifies whether SQL audit is turned on. The default value is TRUE. Value: TRUE: turned on FALSE: turned off,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: sql,5
SQL执行,enable_sql_extension,False,specifies whether to allow use some oracle mode features in mysql mode,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: sql,5
SQL执行,enable_sql_operator_dump,True,specifies whether sql operators (sort/hash join/material/window function/interm result/...) allowed to write to disk,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: sql,5
SQL执行,model_request_timeout,60s,"Used to control the HTTP timeout for accessing the  model. Especially, the default value is 60s.",AI,DYNAMIC_EFFECTIVE,命中关键词: timeout,5
SQL执行,open_cursors,50,"specifies the maximum number of open cursors a session can have at once.can use this parameter to prevent a session from opening an excessive number of cursors.Range: [0, 65535] in integer",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: cursor,5
SQL执行,plsql_code_type,native,specifies the compilation mode for PL/SQL library units,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: sql,5
SQL执行,plsql_debug,False,specifies whether or not PL/SQL library units will be compiled for debugging,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: sql,5
SQL执行,query_response_time_range_base,10,"Select base of log for QUERY_RESPONSE_TIME ranges. WARNING: variable change takes affect only after flush.The default value is 10. Range: [2,10000]. ",TENANT,DYNAMIC_EFFECTIVE,命中关键词: query,5
SQL执行,query_response_time_stats,True,Enable or disable QUERY_RESPONSE_TIME statistics collectingThe default value is True. Value: TRUE: turned on FALSE: turned off,TENANT,DYNAMIC_EFFECTIVE,命中关键词: query,5
内存管理,_auto_drop_recovering_auxiliary_tenant,True,control whether to delete auxiliary tenant after recovering tables failed,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: tenant,5
内存管理,_cache_wash_interval,200ms,specify interval of cache background wash,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: cache,5
内存管理,_delay_resource_recycle_after_correctness_issue,False,whether hinder the recycling of the log resources and the sstable resources under correctness issues,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: resource,5
内存管理,_enable_diagnostic_info_cache,True,enable diagnostic info cache,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: cache,5
内存管理,_enable_external_table_disk_cache,True,enable external table disk cache,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: cache,5
内存管理,_enable_hash_join_processor,7,"which path to process for hash join, default 7 to auto choose 1: nest loop, 2: recursive, 4: in-memory",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",5
内存管理,_enable_memleak_light_backtrace,True,specifies whether allow memleak to get the backtrace of malloc by light_backtrace,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: mem,5
内存管理,_enable_prefetch_limiting,False,enable limiting memory in prefetch for single query,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",5
内存管理,_enable_resource_limit_spec,False,specify whether resource limit check is turned on,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: resource,5
内存管理,_enable_tenant_sql_net_thread,True,"Dispatch mysql request to each tenant with True, or disable with False",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: tenant,5
内存管理,_endpoint_tenant_mapping,,This parameter will store the mapping of endpoint and tenant,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: tenant,5
内存管理,_force_malloc_for_absent_tenant,False,force malloc even if tenant does not exist in observer,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: tenant,5
内存管理,_ob_elr_fast_freeze_threshold,500000,per row update counts threshold to trigger minor freeze for tables with ELR optimization,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: freeze,5
内存管理,_ob_plan_cache_gc_strategy,REPORT,"OFF: disabled, REPORT: check leaked cache object infos only, AUTO: check and release leaked cache obj.",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: cache,5
内存管理,_resource_limit_spec,auto,this parameter encodes some resource limit parameters to json,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: resource,5
内存管理,_rowsets_target_maxsize,524288,"the size of the memory reserved for vectorized sql engine. Range: [262144, 8388608]",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",5
内存管理,_ss_local_cache_control,,switch for ss_local_cache in shared_storage mode,ROOT_SERVICE,DYNAMIC_EFFECTIVE,命中关键词: cache,5
内存管理,_storage_stream_rpc_buffer_size,2M,"[2M,128M]the buffer size of storage stream rpcRange: [2M, 128M]",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: buffer,5
内存管理,_tenant_stack_size,512K,"the size of routine execution stack for a tenant Range: [512K, 20M]",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: tenant,5
内存管理,autoinc_cache_refresh_interval,3600s,"auto-increment service cache refresh sync_value in this interval, with default 3600s. Range: [100ms, +∞)",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: cache,5
内存管理,enable_major_freeze,True,specifies whether major_freeze function is turned on. Value:  True:turned on;  False: turned off,ROOT_SERVICE,DYNAMIC_EFFECTIVE,命中关键词: freeze,5
内存管理,enable_manual_storage_cache_policy,True,enable user manual storage cache policy.,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: cache,5
内存管理,load_vector_index_on_follower,True,Specifies whether the follower automatically loads the memory vector index.,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",5
内存管理,resource_hard_limit,100,system utilization should not be large than resource_hard_limit,LOAD_BALANCE,DYNAMIC_EFFECTIVE,命中关键词: resource,5
内存管理,result_cache_max_result,5,result_cache_max_result specifies the percentage of result_cache_max_size that any single result can use.,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: cache,5
内存管理,ss_cache_max_percentage,30,"the maximum percentage of local cache disk space to total data in shared storage mode. Range: (0,100] in integer",SSTABLE,DYNAMIC_EFFECTIVE,命中关键词: cache,5
内存管理,sys_bkgd_migration_change_member_list_timeout,20s,"the timeout for migration change member list retry. The default value is 20s. Range: [0s,24h]",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: mem,5
磁盘IO,_balance_kill_transaction_threshold,100ms,"the time given to the transaction to execute when do balancebefore it will be killed. Range: [1ms, 60s]",TENANT,DYNAMIC_EFFECTIVE,命中关键词: io,5
磁盘IO,_balance_wait_killing_transaction_end_threshold,100ms,"the threshold for waiting time after killing transactions until they end.Range: [10ms, 60s]",TENANT,DYNAMIC_EFFECTIVE,命中关键词: io,5
磁盘IO,_checkpoint_diagnose_preservation_count,100,the count of checkpoint diagnose info preservation,TENANT,DYNAMIC_EFFECTIVE,命中关键词: io,5
磁盘IO,_data_storage_io_timeout,10s,"io timeout for data storage, Range [1s,600s]. The default value is 10s",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: io,5
磁盘IO,_display_mysql_version,5.7.25,dynamic mysql version of mysql mode observer,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: io,5
磁盘IO,_display_non_session_cursor,True,whether the content of non session cursors is displayed.,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: io,5
磁盘IO,_enable_backtrace_function,True,Decide whether to let the backtrace function take effect,OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: io,5
磁盘IO,_enable_balance_kill_transaction,False,Specifies whether balance should actively kill transaction,TENANT,DYNAMIC_EFFECTIVE,命中关键词: io,5
磁盘IO,_enable_choose_migration_source_policy,True,"Control whether to use chose_migration_source_policy. If the value of configure is false, it will not use chose_migration_source_policy and choose replica with the largest checkpoint scn as the source.",TENANT,DYNAMIC_EFFECTIVE,命中关键词: io,5
磁盘IO,_enable_constant_type_demotion,True,Controls whether to enable constant type demotion to optimize comparisons between constants and columns by downgrading the constant's type to match the column's type.,TENANT,DYNAMIC_EFFECTIVE,命中关键词: io,5
磁盘IO,_enable_dblink_reuse_connection,True,specifies whether dblink reuse connection in a session,TENANT,DYNAMIC_EFFECTIVE,命中关键词: io,5
磁盘IO,_enable_enhanced_cursor_validation,False,"enable enhanced cursor validation, which let cursor can be fetched after transaction committed if it has not read uncommitted data.",OBSERVER,DYNAMIC_EFFECTIVE,命中关键词: io,5
